name,category,phone,website,address,city,country,rating,review_count,opening_hours,description,google_maps_url,latitude,longitude,source_query,scraped_at,status
Sams Indeklima,Air conditioning contractor,40 75 20 96,https://samsindeklima.dk/,"Nybrovej 149, 2800 Kongens Lyngby",Copenhagen,Denmark,5.0,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Sams+Indeklima/data=!4m7!3m6!1s0x46524feb855d87f3:0xa27e5f862e75e015!8m2!3d55.762271!4d12.495048!16s%2Fg%2F11vbv20640!19sChIJ84ddhetPUkYRFeB1LoZffqI?authuser=0&hl=en&rclk=1,55.762271,12.495048,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:42+00:00,ok
Installation Schiøtt,Electrician,33 12 01 52,https://schiott.dk/,"Øster Farimagsgade 9, 11, 1353 København",Copenhagen,Denmark,4.3,,Wednesday7:30 am–3:30 pmThursday7:30 am–3:30 pmFriday7:30 am–3 pmSaturdayClosedSundayClosedMonday7:30 am–3:30 pmTuesday7:30 am–3:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Schi%C3%B8tt+Installation+A%2FS/data=!4m7!3m6!1s0x465253036a29b855:0x23161792a106598c!8m2!3d55.688463!4d12.572856!16s%2Fg%2F11cjcsbckv!19sChIJVbgpagNTUkYRjFkGoZIXFiM?authuser=0&hl=en&rclk=1,55.688463,12.572856,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:46+00:00,ok
Installation Schiøtt,Electrician,33 12 01 52,https://schiott.dk/,"Øster Farimagsgade 9, 11, 1353 København",Copenhagen,Denmark,4.3,,Wednesday7:30 am–3:30 pmThursday7:30 am–3:30 pmFriday7:30 am–3 pmSaturdayClosedSundayClosedMonday7:30 am–3:30 pmTuesday7:30 am–3:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Installation+Schi%C3%B8tt/data=!4m7!3m6!1s0x465253036a29b855:0x23161792a106598c!8m2!3d55.6884634!4d12.5728558!16s%2Fg%2F11cjcsbckv!19sChIJVbgpagNTUkYRjFkGoZIXFiM?authuser=0&hl=en&rclk=1,55.6884634,12.5728558,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:50+00:00,ok
GK,HVAC contractor,66 14 24 12,https://www.gk.dk/,"Tempovej 27, 2750 Ballerup",Copenhagen,Denmark,4.7,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/GK/data=!4m7!3m6!1s0x465254bbda44613b:0xb91f64a0cb25b8a!8m2!3d55.723376!4d12.376342!16s%2Fg%2F1tkv8ckj!19sChIJO2FE2rtUUkYRiluyDEr2kQs?authuser=0&hl=en&rclk=1,55.723376,12.376342,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:54+00:00,ok
Hovmand Energi,Heating contractor,71 74 74 80,https://hovmandenergi.dk/,"Kanalholmen 16, 2650 Hvidovre",Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Hovmand+Energi/data=!4m7!3m6!1s0x4652575d2872903b:0x6f72d56e5f9e41!8m2!3d55.6100073!4d12.4526538!16s%2Fg%2F11lssy8c1r!19sChIJO5ByKF1XUkYRQZ5fbtVybwA?authuser=0&hl=en&rclk=1,55.6100073,12.4526538,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:57+00:00,ok
RT-VVS Teknik,Heating contractor,28 14 86 12,http://www.rt-vvs.dk/,"Prøvestenen 9, 2300 København",Copenhagen,Denmark,3.9,,Wednesday7 am–3 pmThursday7 am–3 pmFriday7 am–3 pmSaturdayClosedSundayClosedMonday7 am–3 pmTuesday7 am–3 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/RT-VVS+Teknik/data=!4m7!3m6!1s0x4653ad4d9cc496f1:0xe296a24fa4c848c5!8m2!3d55.6709563!4d12.6299935!16s%2Fg%2F11r320x_r5!19sChIJ8ZbEnE2tU0YRxUjIpE-iluI?authuser=0&hl=en&rclk=1,55.6709563,12.6299935,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:01+00:00,ok
AB Cool A/S,Air conditioning repair service,70 25 56 00,http://www.abcool.dk/,"Symfonivej 33, 2730 Herlev",Copenhagen,Denmark,4.2,,,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/AB+Cool+A%2FS/data=!4m7!3m6!1s0x46525051d744a90f:0xe399c9952e26132!8m2!3d55.7156653!4d12.45237!16s%2Fg%2F11b5pk14p3!19sChIJD6lE11FQUkYRMmHiUpmcOQ4?authuser=0&hl=en&rclk=1,55.7156653,12.45237,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:04+00:00,ok
Brønshøj Blik & Varme ApS,Heating contractor,50 75 00 10,https://bronshojvarme.dk/,"Ålholmvej 4, 2500 København",Copenhagen,Denmark,4.6,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Br%C3%B8nsh%C3%B8j+Blik+%26+Varme+ApS/data=!4m7!3m6!1s0x465253d5cc8cff75:0xa25a702c09430408!8m2!3d55.670711!4d12.4901674!16s%2Fg%2F11b5pj18dk!19sChIJdf-MzNVTUkYRCARDCSxwWqI?authuser=0&hl=en&rclk=1,55.670711,12.4901674,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:09+00:00,ok
Frederiksberg VVS,Heating contractor,33 21 62 73,https://www.frederiksbergvvs.dk/,"Pile Allé 21, 2000 Frederiksberg",Copenhagen,Denmark,3.8,,Wednesday7 am–2:30 pmThursday7 am–2:30 pmFriday7 am–2 pmSaturdayClosedSundayClosedMonday7 am–2:30 pmTuesday7 am–2:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Frederiksberg+VVS/data=!4m7!3m6!1s0x465253976d9d3225:0x728d020b2a825284!8m2!3d55.6711634!4d12.5314823!16s%2Fg%2F1tdwt8sm!19sChIJJTKdbZdTUkYRhFKCKgsCjXI?authuser=0&hl=en&rclk=1,55.6711634,12.5314823,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:13+00:00,ok
Ox3 Ventilation,HVAC contractor,70 20 10 38,https://ox3.dk/,"Strandgade 36, 1401 København",Copenhagen,Denmark,5.0,,,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Ox3+Ventilation/data=!4m7!3m6!1s0x4652533c2696e3bf:0x863e951d3a413f89!8m2!3d55.6746088!4d12.5912272!16s%2Fg%2F1q5bnqxt4!19sChIJv-OWJjxTUkYRiT9BOh2VPoY?authuser=0&hl=en&rclk=1,55.6746088,12.5912272,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:17+00:00,ok
